hospital,tags,location,img,title
Kar Clinic,Orthopedic,https://goo.gl/maps/CS6Sy6DT9bJqM31p9,"""C:\Users\hp\Gyana_HRS\img\kar clinic.jpg""",
Kar Clinic,Dermatology,https://goo.gl/maps/CS6Sy6DT9bJqM31p10,"""C:\Users\hp\Gyana_HRS\img\kar clinic.jpg""",
Kar Clinic,Rheumatology,https://goo.gl/maps/CS6Sy6DT9bJqM31p11,"""C:\Users\hp\Gyana_HRS\img\kar clinic.jpg""",
OMKAR Health Care,Orthopedic,https://goo.gl/maps/KBGMyvgorZVJVFwr9,"""C:\Users\hp\Gyana_HRS\img\omkar.png""",
Health Village Hospital,Orthopedic,https://goo.gl/maps/fFxiFVHM3b3GydET7,"""C:\Users\hp\Gyana_HRS\img\healthn village.jpg""",
Health Village Hospital,Dermatology,https://goo.gl/maps/fFxiFVHM3b3GydET8,"""C:\Users\hp\Gyana_HRS\img\healthn village.jpg""",
Health Village Hospital,Cancer,https://goo.gl/maps/fFxiFVHM3b3GydET9,"""C:\Users\hp\Gyana_HRS\img\healthn village.jpg""",
ASHU Skin Care,Dermatology,https://goo.gl/maps/sU773twjBX28wTce6,"""C:\Users\hp\Gyana_HRS\img\ashu-skin-care.avif""",
Sara Gastro & Laparoscopic Hospital,Gastroenterology,https://goo.gl/maps/3dXkaxd4ennrrymy7,"""C:\Users\hp\Gyana_HRS\img\sara gastro.png""",
Angel Health Care,Rheumatology,https://goo.gl/maps/L6w3FfKyneK5UirY9,"""C:\Users\hp\Gyana_HRS\img\angel health care.jpg""",
